city,state_name,density
Lake Ketchum,Washington,352.6
Arletta,Washington,251.3
Opportunity,Washington,1210.6
Glenoma,Washington,30.1
Curlew,Washington,66.4
Hartline,Washington,178
Midland,Washington,783.9
Adna,Washington,72
Roslyn,Washington,84
Deer Park,Washington,229
Tracyton,Washington,787.1
Hunts Point,Washington,545
Koontzville,Washington,27.6
Fruitland,Washington,5.1
Chewelah,Washington,341
Mohler,Washington,4
East Renton Highlands,Washington,318.4
Sunnyside,Washington,842
Long Lake,Washington,11.4
Wauna,Washington,429.3
Liberty,Washington,15
Normandy Park,Washington,1027
Mirrormont,Washington,582.8
Parkwood,Washington,918.9
Jamestown,Washington,145.8
Forks,Washington,359
Wallula,Washington,213
Nighthawk,Washington,0.7
SeaTac,Washington,1126
Royal City,Washington,639
Beaux Arts Village,Washington,1524
Steilacoom,Washington,1215
Northport,Washington,202
Eldon,Washington,9.2
Ridgefield,Washington,422
Ryderwood,Washington,332.9
Manchester,Washington,870.2
Vashon Heights,Washington,492.3
Salmon Creek,Washington,406.7
Vantage,Washington,116
Creston,Washington,212
Soap Lake,Washington,403
Silver Firs,Washington,2275.3
Plaza,Washington,23.5
Machias,Washington,258.3
Neah Bay,Washington,1589.2
Malo,Washington,27.2
Clyde Hill,Washington,1213
Marlin,Washington,23.8
North Yelm,Washington,190.9
Grand Coulee,Washington,330
Outlook,Washington,169.6
Clinton,Washington,487.7
Evans,Washington,20.2
Browns Point,Washington,1179.1
Kennewick,Washington,1147
North Marysville,Washington,77.3
Beaver Valley,Washington,34.3
Ahtanum,Washington,323.4
Carbonado,Washington,649
Hyak,Washington,69.4
Arlington Heights,Washington,226.1
North Sultan,Washington,306.2
Pullman,Washington,1229
Wymer,Washington,0
Adelaide,Washington,1388.4
Peaceful Valley,Washington,762.6
West Richland,Washington,254
Fife Heights,Washington,523.6
Manson,Washington,683.5
Sprague,Washington,163
Cosmopolis,Washington,452
Redondo,Washington,1190.8
Waller,Washington,818.3
Addy,Washington,279.3
Matlock,Washington,1.4
Longbranch,Washington,97.4
North Bonneville,Washington,154
Pomeroy,Washington,303
Colville,Washington,596
Palmer,Washington,36.7
Skyway,Washington,2440.5
Medina,Washington,879
Algona,Washington,933
Nine Mile Falls,Washington,53.5
Black Diamond,Washington,262
Gold Bar,Washington,824
Mesa,Washington,119
Cavalero Corner,Washington,149.6
Lilliwaup,Washington,34.3
La Conner,Washington,915
Sheridan Beach,Washington,2013
Emden,Washington,0
Markham,Washington,47.4
Eltopia,Washington,79.4
Stevenson,Washington,364
Greenwater,Washington,55.3
Copalis Beach,Washington,111.7
Roosevelt,Washington,106.3
La Crosse,Washington,146
Summit,Washington,647.3
Ohop,Washington,2.7
Malden,Washington,122
Beverly,Washington,205.8
Prosser,Washington,528
Lake Roesiger,Washington,11.9
Fern Prairie,Washington,172.1
Maple Valley,Washington,1663
Gifford,Washington,2.2
Auburn,Washington,1057
Burton,Washington,438.4
Kewa,Washington,0.7
Carrolls,Washington,126.6
Bayne,Washington,10.2
East Cathlamet,Washington,636.3
Purdy,Washington,379.3
Kapowsin,Washington,55.4
Ketron,Washington,1.9
Connell,Washington,275
Lincoln,Washington,18.3
Clear Lake,Washington,370.7
Kittitas,Washington,729
Bucoda,Washington,401
Ardenvoir,Washington,83.7
Ellisport,Washington,329.3
Bainbridge Island,Washington,342
Danville,Washington,13.7
Hazelwood,Washington,781.7
Holly,Washington,23.6
Valley,Washington,111.2
Republic,Washington,274
Odessa,Washington,417
Edgewood,Washington,515
Burlington,Washington,792
Rice,Washington,13.4
Marengo,Washington,0.9
Cusick,Washington,161
Virginia,Washington,327.7
Concrete,Washington,241
Langley,Washington,430
Othello,Washington,790
North City,Washington,2860.9
Hazel Dell,Washington,1388.9
Colfax,Washington,299
Metaline,Washington,227
Randle,Washington,29.6
Millwood,Washington,989
Snoqualmie Pass,Washington,78
Bangor,Washington,240.9
Thorp,Washington,95.3
Tahlequah,Washington,179.8
Prescott,Washington,292
Buckley,Washington,482
Dalkena,Washington,45.3
Leland,Washington,7.1
Fruitvale,Washington,513.9
Port Hadlock,Washington,187.6
University Place,Washington,1547
Morton,Washington,544
Deep River,Washington,8.6
Elberton,Washington,5.1
Kingston,Washington,402.1
Silverton,Washington,0.1
Vader,Washington,266
Donald,Washington,29.1
Miles,Washington,11.7
Asotin,Washington,483
Joyce,Washington,48.1
Eagledale,Washington,447.1
Port Ludlow,Washington,598.8
Loomis,Washington,154.6
New London,Washington,22.5
Desert Aire,Washington,367.3
Poulsbo,Washington,869
Cedonia,Washington,22.2
Union,Washington,196.1
Suquamish,Washington,1418.8
Deep Creek,Washington,20.5
Yoman,Washington,15.4
Cordell,Washington,7.7
Hoquiam,Washington,344
Hay,Washington,0.6
Nespelem,Washington,622
Ephrata,Washington,298
Kent,Washington,1470
Mukilteo,Washington,1323
Boise,Washington,118
Kirkland,Washington,1921
Waitsburg,Washington,388
Ridgecrest,Washington,2379.9
Freeman,Washington,7.3
Dallesport,Washington,220.6
Redmond,Washington,1506
Wilkeson,Washington,420
Sisco Heights,Washington,102.6
Lewisville,Washington,123.3
Kennard Corner,Washington,2936.7
Benge,Washington,10.5
Granger,Washington,841
Yarrow Point,Washington,1190
Lost Creek,Washington,15.2
Moxee City,Washington,2666.3
Hockinson,Washington,237.5
Oakville,Washington,498
Tukwila,Washington,847
Mabana,Washington,209
Kangley,Washington,49.9
Clallam Bay,Washington,313.1
Newport,Washington,624
Enetai,Washington,540.5
Clearview,Washington,249.5
Sahalee,Washington,602.5
Yelm,Washington,618
Midway,Washington,1083.6
Olympia,Washington,1094
Endicott,Washington,397
Lind,Washington,193
Fife,Washington,684
Newport Hills,Washington,1462.4
Upper Mill,Washington,0
Upper Preston,Washington,153.1
Pateros,Washington,536
Nordland,Washington,72.6
Tyler,Washington,9.9
Camden,Washington,18.4
Palisades,Washington,0.5
Rockport,Washington,144.1
Port Orchard,Washington,559
Preston,Washington,160.2
Tieton,Washington,570
Rochester,Washington,437
Bingen,Washington,452
Harbour Pointe,Washington,2484.9
Wellpinit,Washington,109.9
Glacier,Washington,18.9
Farmington,Washington,164
Eastsound,Washington,386.6
Central Park,Washington,420.5
Bremerton,Washington,557
Friday Harbor,Washington,430
Carnation,Washington,725
Lake Shore,Washington,2221.8
Houghton,Washington,2649
Lester,Washington,0
Lake Stevens,Washington,1424
Mineral,Washington,160
Lake Stickney,Washington,1569.6
Acme,Washington,82.2
Oyehut,Washington,108.8
Mossyrock,Washington,444
Bridgeport,Washington,961
Fobes Hill,Washington,235.5
Rosario,Washington,189.8
Brewster,Washington,785
Fox Island,Washington,241.2
Canyon Park,Washington,1282.8
Rock Island,Washington,478
High Rock,Washington,59.2
Rockford,Washington,271
Erlands Point,Washington,1097.5
Montesano,Washington,147
Gorst,Washington,213.9
Johnson,Washington,12.8
Alderton,Washington,208.1
Dusty,Washington,2
Tekoa,Washington,254
Bay Center,Washington,205
La Center,Washington,524
Mazama,Washington,2.8
Selleck,Washington,89.9
Amanda Park,Washington,93.2
Doris,Washington,0
Sunnydale,Washington,2662.9
Van Zandt,Washington,36.1
McDonald,Washington,20.1
Moclips,Washington,147.5
Ocean Park,Washington,162.8
West Valley,Washington,1455.1
Thompson Place,Washington,1959.9
Dungeness,Washington,221.4
Birch Bay,Washington,475.2
Stratford,Washington,15.5
Ione,Washington,330
Tacoma,Washington,1657
Barberton,Washington,282.6
Yacolt,Washington,1210
Coulee Dam,Washington,576
Almota,Washington,3.9
Skamokawa,Washington,34.6
Woodinville,Washington,824
Swinomish Village,Washington,30.2
Methow,Washington,43.4
Bay View,Washington,184.1
Newaukum,Washington,106.4
Kalaloch,Washington,0.1
Meadow Glade,Washington,375.5
Disautel,Washington,13.8
Copalis Crossing,Washington,34.6
Burley,Washington,153.2
Riverside,Washington,118
Ocean Shores,Washington,268
Bethel,Washington,738.3
Grisdale,Washington,0
South Hill,Washington,2183.6
Island View,Washington,584
Winona,Washington,9.3
Leadpoint,Washington,6.3
Brooklyn,Washington,12.8
Mansfield,Washington,401
Sequim,Washington,432
Esperance,Washington,2544.1
Springdale,Washington,100
Okanogan,Washington,493
Cedar Mountain,Washington,41.6
Moses Lake,Washington,499
Littlerock,Washington,113.8
Trentwood,Washington,989.6
Mabton,Washington,1064
Klickitat,Washington,99.3
Puyallup,Washington,1119
Cinebar,Washington,17.8
San de Fuca,Washington,125.8
Cathlamet,Washington,428
Richardson,Washington,20.7
Sumner,Washington,517
Davenport,Washington,395
Cliffdell,Washington,23.1
Fall City,Washington,150.2
Dockton,Washington,252.2
Conway,Washington,122.3
Marshall,Washington,186.8
Walla Walla,Washington,939
Canterwood,Washington,275
Lexington,Washington,1164.3
Country Homes,Washington,1113.3
Altoona,Washington,3.4
South Cle Elum,Washington,544
Waldron,Washington,7.8
Chesaw,Washington,26.2
Sunnyslope,Washington,523.8
Olympic View,Washington,220.8
Hood,Washington,7.4
Elbe,Washington,136.4
Venice,Washington,421.9
Cumberland,Washington,136.6
Ostrander,Washington,127
Cohassett Beach,Washington,386.7
Deming,Washington,52.9
Sekiu,Washington,88.6
Terrace Heights,Washington,529.5
Nemah,Washington,2.6
Neilton,Washington,16.7
Grays River,Washington,11.3
Ashford,Washington,37.1
Boistfort,Washington,22.6
Shore Acres,Washington,787
Bothell,Washington,1287
South Broadway,Washington,290.7
Edwall,Washington,54.2
Georgetown,Washington,12.4
Maryhill,Washington,28.9
Huntsville,Washington,12.7
Greenbank,Washington,96.8
Murphys Corner,Washington,1343.5
Tokeland,Washington,118.4
Felida,Washington,1377
Fairview,Washington,623.2
Tumwater,Washington,509
Uniontown,Washington,143
Coupeville,Washington,586
River Road,Washington,502.2
Duvall,Washington,1230
Marcus,Washington,316
Seattle Heights,Washington,3537.2
Strandell,Washington,984.7
Key Center,Washington,98.2
Hanford,Washington,0
Grand Mound,Washington,112.2
Taholah,Washington,600.2
Port Blakely,Washington,176.8
Malone,Washington,179.4
Boston Harbor,Washington,526.9
Rainier,Washington,473
Menlo,Washington,53.3
Azwell,Washington,14
Glendale,Washington,43.4
Monroe,Washington,1183
Sawyer,Washington,27.2
Clarkston,Washington,1430
Spanaway,Washington,1279.8
Gig Harbor,Washington,622
Big Lake,Washington,36.4
Smyrna,Washington,1.3
Carlton,Washington,24.6
Monitor,Washington,176.4
Des Moines,Washington,1875
Lucerne,Washington,0
Carlisle,Washington,2
Metaline Falls,Washington,446
Breidablick,Washington,92
Snohomish,Washington,1117
Richland,Washington,556
Parkland,Washington,2215.1
Veradale,Washington,1727.4
Kummer,Washington,134.9
Woodland,Washington,575
Washougal,Washington,1109
Boyds,Washington,33.4
Bonney Lake,Washington,1003
South Prairie,Washington,441
Larimers Corner,Washington,72.4
Porter,Washington,32.5
Lisabeula,Washington,73
Saint John,Washington,322
Spokane Valley,Washington,1001
Lake Cavanaugh,Washington,73.3
Bellevue,Washington,1666
Custer,Washington,128.4
Orcas,Washington,73.7
Diablo,Washington,30.7
Christopher,Washington,11.5
Midvale Corner,Washington,75.9
Marysville,Washington,1290
Newcastle,Washington,1014
North Bend,Washington,599
Snoqualmie,Washington,725
Three Lakes,Washington,110.4
Kendall,Washington,146.2
Kanaskat,Washington,112.1
Schrag,Washington,0.8
Wilbur,Washington,249
Enumclaw,Washington,878
Nile,Washington,49.4
Alderwood Manor,Washington,636.6
Clarkston Heights,Washington,545.3
Pacific Beach,Washington,157.8
Napavine,Washington,252
Hatton,Washington,104
Shelton,Washington,675
Chimacum,Washington,66.9
Naselle,Washington,126.2
Grotto,Washington,45.9
Sunrise Beach,Washington,0
Bellingham,Washington,1241
Castle Rock,Washington,433
Pine City,Washington,17
Nooksack,Washington,846
Elma,Washington,614
Kenmore,Washington,1436
Ellensburg,Washington,1022
Belmont,Washington,1.1
DuPont,Washington,629
Long Beach,Washington,395
Seabeck,Washington,63.4
Granite Falls,Washington,632
Tonasket,Washington,459
Otis Orchards,Washington,588.9
Milton,Washington,1185
West Pasco,Washington,340.9
Badger,Washington,118.7
Lamont,Washington,98
Ravensdale,Washington,359.3
Rollingbay,Washington,473
Rocky Point,Washington,856.8
Garrett,Washington,376.6
Palouse,Washington,388
Grayland,Washington,282.6
Gilberton,Washington,840.3
Withrow,Washington,39.9
Stanwood,Washington,966
Ayer,Washington,0.2
Sudden Valley,Washington,1380.3
Meridian,Washington,4501.6
Aberdeen Gardens,Washington,55.4
Possession,Washington,84.9
Benton City,Washington,533
Bickleton,Washington,57.3
Elmer City,Washington,401
Doty,Washington,227.3
East Wenatchee,Washington,1425
Newman Lake,Washington,44
Freeland,Washington,251.7
Indianola,Washington,610.3
Cowiche,Washington,345.9
Husum,Washington,79.2
Alderdale,Washington,0
Lamona,Washington,2.9
Skokomish,Washington,152.4
Vaughn,Washington,81.9
Ruby,Washington,9.9
Bryant,Washington,102.9
Coalfield,Washington,165.6
Swede Heaven,Washington,36.7
Spokane,Washington,1218
Brady,Washington,65.4
Spring Glen,Washington,183.2
Hoodsport,Washington,387.7
Leavenworth,Washington,580
Tanglewilde,Washington,1848.3
Bow,Washington,142.7
Carlsborg,Washington,370.3
North Lynnwood,Washington,2462
Cedar Falls,Washington,8.7
Chelan,Washington,247
Wilson Creek,Washington,85
Latah,Washington,225
Brownsville,Washington,629
Amber,Washington,1.8
Zenith,Washington,2316.8
Goodnoe Hills,Washington,1.7
Camas,Washington,646
Olalla,Washington,129.2
Basin City,Washington,267.3
Blaine,Washington,365
Oroville,Washington,382
Orchards,Washington,744.8
Union Gap,Washington,436
Mead,Washington,710.9
Manzanita,Washington,251.3
Pasco,Washington,837
Touchet,Washington,386.5
Pe Ell,Washington,426
Baring,Washington,122.6
Sappho,Washington,10.6
Hunters,Washington,88.3
Gleed,Washington,160.7
Fairfield,Washington,387
Torboy,Washington,33.9
Cashmere,Washington,1061
Willapa,Washington,66
Issaquah,Washington,1193
Toppenish,Washington,1627
Finley,Washington,240.7
Darrington,Washington,306
Picnic Point,Washington,420.1
Aeneas,Washington,9.7
Cedarhurst,Washington,101
Four Lakes,Washington,181.6
Dayton,Washington,658
Port Madison,Washington,439.8
Orting,Washington,1138
Wheeler,Washington,37.2
Fircrest,Washington,1665
Lebam,Washington,38
Marrowstone,Washington,72.6
North Puyallup,Washington,667.2
Five Corners,Washington,2103.2
Graham,Washington,261.1
Longview Heights,Washington,362.3
Hobart,Washington,142.8
Point Roberts,Washington,64.2
Town and Country,Washington,1502.5
Lake Hills,Washington,2082
Rosedale,Washington,554.8
Irondale,Washington,469.3
Dishman,Washington,1055.2
Bayview,Washington,315.1
Conconully,Washington,300
Entiat,Washington,216
Lochsloy,Washington,489.9
Brinnon,Washington,78.1
Seahurst,Washington,1330.3
Dixie,Washington,155.6
Eastgate,Washington,1777
Blockhouse,Washington,16.6
Buena,Washington,744.7
Grapeview,Washington,101.5
Startup,Washington,245.1
Hayford,Washington,37.6
Bell Hill,Washington,102.2
Westport,Washington,214
Southworth,Washington,363
Twisp,Washington,313
Milan,Washington,37.8
Ritzville,Washington,363
Lake Goodwin,Washington,328.3
McMurray,Washington,77.5
Portage,Washington,185.3
Lake Bosworth,Washington,204.9
Fords Prairie,Washington,675.7
Longmire,Washington,0.3
Carson,Washington,315.1
Mount Vista,Washington,250.7
Vancouver,Washington,1444
Chelan Falls,Washington,334.4
Espanola,Washington,19.2
Battle Ground,Washington,938
Summitview,Washington,185.2
Geneva,Washington,1072.1
Queets,Washington,159.7
Wollochet,Washington,349.2
College Place,Washington,1342
Garfield,Washington,252
Ruff,Washington,20
Ewan,Washington,0.1
Glenwood,Washington,85.3
Riverbend,Washington,478.1
Trout Lake,Washington,127.2
Mount Vernon,Washington,1099
Ferndale,Washington,775
Hansville,Washington,272.5
Wickersham,Washington,109.4
White Salmon,Washington,657
Oysterville,Washington,33.8
Aberdeen,Washington,585
Melbourne,Washington,20.7
Plymouth,Washington,238.7
Winlock,Washington,405
Satsop,Washington,147.1
Merritt,Washington,12
Shoreline,Washington,1864
Peshastin,Washington,632.9
Marble,Washington,43.4
South Snohomish,Washington,5.4
Richmond Highlands,Washington,1912.4
Goldendale,Washington,454
Nisqually,Washington,341.3
Tillicum,Washington,1111.9
Anatone,Washington,31.1
Tulalip,Washington,434.1
Orient,Washington,109.1
Dieringer,Washington,2.8
Frederickson,Washington,127.9
Keller,Washington,28.9
Marblemount,Washington,34.5
Turner,Washington,13.1
Silvana,Washington,25.9
Everett,Washington,1278
Burien,Washington,1983
Riner,Virginia,263.7
Powhatan,Virginia,88.9
Natural Bridge,Virginia,12
Chamberlayne Heights,Virginia,661
Manassas Park,Virginia,2537
McClure,Virginia,70.1
Brownsburg,Virginia,45.6
Burgess,Virginia,24.8
Lake Barcroft,Virginia,1093.7
Clover,Virginia,86.6
Columbia,Virginia,124.4
Verona,Virginia,764
Fairfax,Virginia,1491
Falmouth,Virginia,436.2
Scottsburg,Virginia,67
Ashburn,Virginia,1456.5
Big Stone Gap,Virginia,413
Gwynn,Virginia,119
Jewell Valley,Virginia,3.3
Waynesboro,Virginia,576
University Heights,Virginia,810.7
Batesville,Virginia,75
Whitetop,Virginia,29.8
Nellysford,Virginia,52.1
Montrose,Virginia,1147
Lexington,Virginia,1097
Clinchco,Virginia,42
Dante,Virginia,175.6
Ivor,Virginia,112
Montross,Virginia,144
Wintergreen,Virginia,30.9
Vesta,Virginia,26.2
Henry,Virginia,48.8
Jonesville,Virginia,329
Evington,Virginia,72.5
Duffield,Virginia,52
McKenney,Virginia,202
Fancy Gap,Virginia,19.5
Goshen,Virginia,82
Onley,Virginia,243
Exmore,Virginia,207
Schuyler,Virginia,46.2
Kenbridge,Virginia,201
Penhook,Virginia,22.5
Mollusk,Virginia,71
Toga,Virginia,4.6
Laurel Park,Virginia,291.6
Bayside,Virginia,18.2
Lignum,Virginia,88.8
Winchester,Virginia,1173
Lebanon,Virginia,264
Tysons,Virginia,30.4
Mappsburg,Virginia,11.8
Orange,Virginia,583
Midlothian,Virginia,901.3
Calverton,Virginia,49.1
Fulks Run,Virginia,10.7
Amelia Court House,Virginia,130.7
Boydton,Virginia,193
Konnarock,Virginia,54.4
Kilmarnock,Virginia,160
Crockett,Virginia,43.6
Buckingham,Virginia,46.5
Hamilton,Virginia,1181
Broadlands,Virginia,2286.6
Mineral,Virginia,216
Apple Grove,Virginia,43.8
Susan,Virginia,47.4
Free Union,Virginia,87
Keokee,Virginia,95.5
Cleveland,Virginia,546
Fairfax Station,Virginia,463.5
Bensley,Virginia,1405.6
Lebanon Church,Virginia,49.4
Brumley Gap,Virginia,25.8
Patrick Springs,Virginia,137.3
Wachapreague,Virginia,387
Spencer,Virginia,24.6
Gressitt,Virginia,19.2
Commonwealth,Virginia,1458.4
Oak Level,Virginia,86.6
Adwolf,Virginia,160.2
Cana,Virginia,88.4
Haynesville,Virginia,123.5
Jarratt,Virginia,183
Strasburg,Virginia,627
Charles City,Virginia,21.7
Rose Hill Farms,Virginia,1457.6
Radford,Virginia,704
Savageville,Virginia,75.1
Emory,Virginia,212.5
Cartersville,Virginia,37.1
Apple Mountain Lake,Virginia,425.9
Richmond,Virginia,1463
Barracks,Virginia,859.3
Alberta,Virginia,50
Luray,Virginia,391
Middleburg,Virginia,318
Centreville,Virginia,2038.1
Sherando,Virginia,146.5
Kire,Virginia,0.1
Drakes Branch,Virginia,47
Wicomico Church,Virginia,32.4
Short Pump,Virginia,386.4
Fairview Beach,Virginia,606.3
Lunenburg,Virginia,18.8
Mustoe,Virginia,1.3
Chilhowie,Virginia,263
Newington,Virginia,121.4
Greenbush,Virginia,59.4
Glen Lyn,Virginia,63
Ridgeway,Virginia,283
Gargatha,Virginia,73.5
Massanutten,Virginia,66.3
Rustburg,Virginia,293.4
Providence Forge,Virginia,30.9
Boykins,Virginia,295
Lee Mont,Virginia,80.5
Monterey,Virginia,169
Dungannon,Virginia,327
Wilderness,Virginia,23.4
Allisonia,Virginia,26.2
Rose Hill,Virginia,212.3
Bowling Green,Virginia,280
Mappsville,Virginia,194.1
Mountain Road,Virginia,65.1
Virginia Beach,Virginia,710
Toms Brook,Virginia,829
Boston,Virginia,53
Elliston,Virginia,259
Gordonsville,Virginia,648
Montvale,Virginia,212.7
Mount Hermon,Virginia,274.9
Occoquan,Virginia,2246
Craigsville,Virginia,173
Herndon,Virginia,2209
Troutville,Virginia,240
Greenbackville,Virginia,118.5
Zuni,Virginia,79.3
Manakin,Virginia,75.7
McDowell,Virginia,33.2
Glasgow,Virginia,280
Hayfield,Virginia,1707.7
Timberville,Virginia,796
Jetersville,Virginia,97.6
Countryside,Virginia,2120.5
Mount Crawford,Virginia,360
Woolwine,Virginia,29
Eagle Rock,Virginia,35.4
Crystal Hill,Virginia,25.7
Stonega,Virginia,61.7
Edgerton,Virginia,9.9
Arrington,Virginia,35.8
Carrollton,Virginia,106.9
Gore,Virginia,127.8
Acorn,Virginia,21
Bastian,Virginia,59.2
Stafford,Virginia,176.5
Hanover,Virginia,151.6
Woodlake,Virginia,1557.2
Fort Mitchell,Virginia,13.9
Augusta Springs,Virginia,83.4
Chesapeake,Virginia,274
Metompkin,Virginia,99.4
Maurertown,Virginia,460.8
Tappahannock,Virginia,350
Yale,Virginia,9.6
New Baltimore,Virginia,92.4
Syria,Virginia,4.6
Idylwood,Virginia,2126.7
Urbanna,Virginia,422
Haysi,Virginia,50
Virgilina,Virginia,88
Mouth of Wilson,Virginia,6.9
Round Hill,Virginia,703
Williamsville,Virginia,11.3
