city,state_name,density
Whitewater,Wisconsin,636
Pound,Wisconsin,162
Woodville,Wisconsin,293
Horicon,Wisconsin,407
Sister Bay,Wisconsin,136
Stevens Point,Wisconsin,591
Chenequa,Wisconsin,66
Vaudreuil,Wisconsin,18.8
West Bloomfield,Wisconsin,32.3
Helenville,Wisconsin,147.2
Sandy Hook,Wisconsin,130.9
Cecil,Wisconsin,119
Kewaunee,Wisconsin,316
Neopit,Wisconsin,228.2
Hines,Wisconsin,8.6
Oliver,Wisconsin,76
Prairie du Chien,Wisconsin,373
Martinsville,Wisconsin,35.4
Tigerton,Wisconsin,150
Clear Lake,Wisconsin,158
River Hills,Wisconsin,119
Kimberly,Wisconsin,1145
Goodman,Wisconsin,227.2
Harshaw,Wisconsin,12.1
Sun Prairie,Wisconsin,1056
Big Bend,Wisconsin,163
Ephraim,Wisconsin,28
Prairie du Sac,Wisconsin,932
Oshkosh,Wisconsin,962
Edgewood,Wisconsin,550.9
Evansville,Wisconsin,633
Marengo,Wisconsin,48.4
Marshfield,Wisconsin,520
Ingram,Wisconsin,28
Potter Lake,Wisconsin,994.1
Winnebago,Wisconsin,210.9
Grafton,Wisconsin,883
Casco,Wisconsin,338
Cudahy,Wisconsin,1479
Elderon,Wisconsin,61
Sheboygan,Wisconsin,1286
Bloom City,Wisconsin,79.2
Stitzer,Wisconsin,114.9
Caledonia,Wisconsin,212
Little Sturgeon,Wisconsin,52.4
Clearwater Lake,Wisconsin,41.2
Black Creek,Wisconsin,511
Kennan,Wisconsin,23
Dellwood,Wisconsin,21
Saint Croix Falls,Wisconsin,158
Ellison Bay,Wisconsin,66
East Troy,Wisconsin,373
Wautoma,Wisconsin,295
Benton,Wisconsin,456
Loyal,Wisconsin,349
Eagleton,Wisconsin,30.1
Thorp,Wisconsin,428
Cutler,Wisconsin,0
Menomonee Falls,Wisconsin,439
Leland,Wisconsin,7.9
Rock Springs,Wisconsin,107
Luck,Wisconsin,207
Rothschild,Wisconsin,314
Riplinger,Wisconsin,27.7
Fall River,Wisconsin,359
Lewis,Wisconsin,57
Kingston,Wisconsin,94
Fennimore,Wisconsin,555
Weston,Wisconsin,270
Mayville,Wisconsin,580
Iron Belt,Wisconsin,82.1
Marathon,Wisconsin,248
Amherst Junction,Wisconsin,120
Germantown,Wisconsin,224
Menominee,Wisconsin,463
Boyceville,Wisconsin,112
Ellsworth,Wisconsin,334
Steuben,Wisconsin,7
Brillion,Wisconsin,442
New London,Wisconsin,495
Hammond,Wisconsin,338
Reedsburg,Wisconsin,641
Elkhart Lake,Wisconsin,305
North Hudson,Wisconsin,931
Tichigan,Wisconsin,135.2
Port Washington,Wisconsin,779
Doylestown,Wisconsin,29
Middle Village,Wisconsin,0.8
Fairwater,Wisconsin,188
Drummond,Wisconsin,186.5
Maiden Rock,Wisconsin,37
Sullivan,Wisconsin,229
Genesee Depot,Wisconsin,280.4
Independence,Wisconsin,121
Kiel,Wisconsin,577
Westby,Wisconsin,323
Mount Horeb,Wisconsin,889
Lake Wisconsin,Wisconsin,528.4
Random Lake,Wisconsin,426
Whitelaw,Wisconsin,543
Rib Mountain,Wisconsin,57.9
Forest Junction,Wisconsin,417
West Milwaukee,Wisconsin,1434
Liberty Pole,Wisconsin,7
Camp Douglas,Wisconsin,240
Tomahawk,Wisconsin,156
Dodgeville,Wisconsin,451
Benderville,Wisconsin,66.6
Waubeka,Wisconsin,251
Navarino,Wisconsin,54
Clam Lake,Wisconsin,40.8
Trempealeau,Wisconsin,319
Loganville,Wisconsin,439
Sauk City,Wisconsin,910
Fountain City,Wisconsin,77
Sextonville,Wisconsin,357.5
Pilsen,Wisconsin,14.5
Oneida,Wisconsin,253.7
Legend Lake,Wisconsin,28.5
Lomira,Wisconsin,429
Dickeyville,Wisconsin,400
Fall Creek,Wisconsin,246
Mattoon,Wisconsin,98
Shiocton,Wisconsin,227
Namekagon,Wisconsin,24
South Milwaukee,Wisconsin,1678
Astico,Wisconsin,37.1
Rio,Wisconsin,321
Menchalville,Wisconsin,15.1
Elm Grove,Wisconsin,730
Marion,Wisconsin,188
Darlington,Wisconsin,650
Daleyville,Wisconsin,36.8
Dalton,Wisconsin,215.8
Johnson Creek,Wisconsin,385
Cadott,Wisconsin,162
Kekoskee,Wisconsin,257
Mondovi,Wisconsin,265
Springbrook,Wisconsin,68.9
Jackson,Wisconsin,882
Maribel,Wisconsin,113
Fontana,Wisconsin,79.5
Tisch Mills,Wisconsin,72.1
Bayfield,Wisconsin,212
Francis Creek,Wisconsin,219
Unity,Wisconsin,130
Foster,Wisconsin,80.5
Lohrville,Wisconsin,124
Butler,Wisconsin,898
Leyden,Wisconsin,33.2
Fenwood,Wisconsin,60
Clintonville,Wisconsin,379
Appleton,Wisconsin,1178
Linden,Wisconsin,265
Boaz,Wisconsin,160
La Valle,Wisconsin,357
Glen Flora,Wisconsin,59
Diamond Bluff,Wisconsin,18.7
Blair,Wisconsin,122
Shullsburg,Wisconsin,348
Oregon,Wisconsin,923
Brookfield,Wisconsin,538
Walworth,Wisconsin,631
Boulder Junction,Wisconsin,91.6
Berlin,Wisconsin,359
Cambria,Wisconsin,296
Chief Lake,Wisconsin,5.2
West Salem,Wisconsin,579
Barneveld,Wisconsin,249
Jim Falls,Wisconsin,228.6
Monticello,Wisconsin,390
King,Wisconsin,1818.2
Soldiers Grove,Wisconsin,59
Franksville,Wisconsin,487.8
Spring Valley,Wisconsin,126
Ashippun,Wisconsin,256.4
South Superior,Wisconsin,624.6
Edgar,Wisconsin,338
Cochrane,Wisconsin,207
Dousman,Wisconsin,360
Chain O' Lakes,Wisconsin,203.5
Nekoosa,Wisconsin,276
Hollandale,Wisconsin,160
Dane,Wisconsin,382
Cottage Grove,Wisconsin,693
Friendship,Wisconsin,280
Borth,Wisconsin,22.8
Cornucopia,Wisconsin,66
Krakow,Wisconsin,151.3
Cushing,Wisconsin,88.4
Arpin,Wisconsin,147
Adell,Wisconsin,355
Stratford,Wisconsin,114
Glidden,Wisconsin,233.2
Vesper,Wisconsin,186
Stetsonville,Wisconsin,513
Tunnel City,Wisconsin,118.8
Lancaster,Wisconsin,478
Saint Francis,Wisconsin,1417
Reserve,Wisconsin,152.7
Rockdale,Wisconsin,296
Elcho,Wisconsin,253
Muscoda,Wisconsin,327
Sheboygan Falls,Wisconsin,571
Camp Lake,Wisconsin,174.8
Lake Delton,Wisconsin,157
Sherwood,Wisconsin,333
Argonne,Wisconsin,172.2
Solon Springs,Wisconsin,146
Cobb,Wisconsin,195
Leopolis,Wisconsin,91.1
Eagle River,Wisconsin,186
Prentice,Wisconsin,117
Lily,Wisconsin,40.5
Lake Five,Wisconsin,139.5
Wentworth,Wisconsin,0.8
West Baraboo,Wisconsin,463
De Pere,Wisconsin,831
Stoughton,Wisconsin,883
Loyd,Wisconsin,34.1
North Prairie,Wisconsin,313
Plat,Wisconsin,121.8
Fish Creek,Wisconsin,42
Brooklyn,Wisconsin,503
Waterville,Wisconsin,128
Dotyville,Wisconsin,49.3
Conrath,Wisconsin,68
Footville,Wisconsin,278
Couderay,Wisconsin,33
Fairchild,Wisconsin,156
Princeton,Wisconsin,291
Schofield,Wisconsin,483
West Allis,Wisconsin,2032
Stevenstown,Wisconsin,30.4
High Bridge,Wisconsin,22.3
Livingston,Wisconsin,241
Readstown,Wisconsin,93
Butte des Morts,Wisconsin,843.8
Monches,Wisconsin,64.9
Oostburg,Wisconsin,590
New Post,Wisconsin,57.1
Tomah,Wisconsin,478
Big Falls,Wisconsin,49
Marshall,Wisconsin,721
Potosi,Wisconsin,156
Saint Peter,Wisconsin,276.9
Downsville,Wisconsin,54
Altoona,Wisconsin,632
Niagara,Wisconsin,217
Harrison,Wisconsin,125
Cleveland,Wisconsin,285
Rockfield,Wisconsin,195.3
Mercer,Wisconsin,232.1
Holmen,Wisconsin,671
Werley,Wisconsin,6.7
Allouez,Wisconsin,1174
Spread Eagle,Wisconsin,33.1
Hustisford,Wisconsin,458
Cumberland,Wisconsin,241
Arnott,Wisconsin,16.1
Maple Bluff,Wisconsin,733
Barronett,Wisconsin,147
Athens,Wisconsin,171
Iron River,Wisconsin,124.6
Yuba,Wisconsin,87
Pulaski,Wisconsin,490
Pearson,Wisconsin,15.1
Wisconsin Dells,Wisconsin,146
Viola,Wisconsin,262
Cassville,Wisconsin,361
Scandinavia,Wisconsin,155
Fox Point,Wisconsin,900
Lowell,Wisconsin,126
Valley,Wisconsin,18.5
Abrams,Wisconsin,192.2
Cable,Wisconsin,102.7
West Bend,Wisconsin,809
Woodruff,Wisconsin,458.3
Mount Hope,Wisconsin,272
Lannon,Wisconsin,187
Lynxville,Wisconsin,36
Galesville,Wisconsin,468
Fairview,Wisconsin,9.2
Blue River,Wisconsin,177
Embarrass,Wisconsin,125
Combined Locks,Wisconsin,823
Waukesha,Wisconsin,1097
Pickett,Wisconsin,48.1
Alma,Wisconsin,52
Institute,Wisconsin,27.7
Bear Creek,Wisconsin,185
Thiensville,Wisconsin,1174
Howards Grove,Wisconsin,566
Iron Ridge,Wisconsin,517
Polonia,Wisconsin,171.8
Bristol,Wisconsin,59
Mosinee,Wisconsin,196
Glendale,Wisconsin,852
Monroe,Wisconsin,758
Eureka,Wisconsin,128.4
Bluffview,Wisconsin,911.2
Whiting,Wisconsin,362
Two Rivers,Wisconsin,712
Wisconsin Rapids,Wisconsin,496
Whitehall,Wisconsin,106
Gresham,Wisconsin,191
Mount Calvary,Wisconsin,273
Maine,Wisconsin,21
Chetek,Wisconsin,345
Pulcifer,Wisconsin,38.2
Minocqua,Wisconsin,375.3
Milwaukee,Wisconsin,2390
Washburn,Wisconsin,202
Randolph,Wisconsin,547
Algoma,Wisconsin,486
Nelson,Wisconsin,101
Pigeon Falls,Wisconsin,361
Albany,Wisconsin,304
Ogdensburg,Wisconsin,70
Mount Sterling,Wisconsin,54
Stonebank,Wisconsin,193.2
Spring Green,Wisconsin,379
Sheldon,Wisconsin,127
Antigo,Wisconsin,478
Colby,Wisconsin,431
Cooksville,Wisconsin,89.8
Tilleda,Wisconsin,110.4
Bloomington,Wisconsin,214
Browntown,Wisconsin,100
Bellevue,Wisconsin,422
Custer,Wisconsin,51.4
Auburndale,Wisconsin,125
Glenwood City,Wisconsin,189
Richwood,Wisconsin,23.5
Van Dyne,Wisconsin,220.4
Downing,Wisconsin,34
Foxboro,Wisconsin,4.7
Mequon,Wisconsin,201
Post Lake,Wisconsin,13.2
Catawba,Wisconsin,8
Three Lakes,Wisconsin,200.9
Greenwood,Wisconsin,144
Nashotah,Wisconsin,322
Boscobel,Wisconsin,389
Shorewood Hills,Wisconsin,970
Cashton,Wisconsin,340
Roberts,Wisconsin,269
Tonet,Wisconsin,22
Ridgeland,Wisconsin,230
Fort Atkinson,Wisconsin,851
Hertel,Wisconsin,45.3
Big Spring,Wisconsin,25.7
Moquah,Wisconsin,6.9
Weyauwega,Wisconsin,456
Oconto Falls,Wisconsin,401
Dyckesville,Wisconsin,290.4
Black River Falls,Wisconsin,328
Menasha,Wisconsin,1131
Mole Lake,Wisconsin,28.6
Pepin,Wisconsin,418
Belmont,Wisconsin,442
Grand Marsh,Wisconsin,84.5
Coon Valley,Wisconsin,271
Lublin,Wisconsin,28
London,Wisconsin,184.2
Sturgeon Bay,Wisconsin,350
Pelican Lake,Wisconsin,56.6
Elmwood,Wisconsin,205
Potter,Wisconsin,184
Sheridan,Wisconsin,31.6
Brandon,Wisconsin,436
Okauchee,Wisconsin,851.9
North Freedom,Wisconsin,322
Merrillan,Wisconsin,160
Melrose,Wisconsin,234
Wales,Wisconsin,309
White Creek,Wisconsin,58.3
Newald,Wisconsin,96.2
Luxemburg,Wisconsin,428
Zoar,Wisconsin,8.8
Prairie Farm,Wisconsin,178
Glenbeulah,Wisconsin,255
Barron,Wisconsin,439
Blue Mounds,Wisconsin,425
Patch Grove,Wisconsin,193
Markesan,Wisconsin,233
Jump River,Wisconsin,35.9
Knowles,Wisconsin,45.7
Euren,Wisconsin,13.4
Northwoods Beach,Wisconsin,144.8
Mason,Wisconsin,48
Oakfield,Wisconsin,420
Bryant,Wisconsin,8.9
Birnamwood,Wisconsin,138
Arcadia,Wisconsin,365
Alma Center,Wisconsin,189
Eden,Wisconsin,578
Whitefish Bay,Wisconsin,2546
Jericho,Wisconsin,137.3
Neosho,Wisconsin,412
Lena,Wisconsin,196
Tennyson,Wisconsin,311
Pence,Wisconsin,96.6
Cascade,Wisconsin,344
Range,Wisconsin,50.7
Deer Park,Wisconsin,91
Albertville,Wisconsin,14.6
Brownsville,Wisconsin,364
Waunakee,Wisconsin,785
Kendall,Wisconsin,237
Madison,Wisconsin,1279
Taylor,Wisconsin,248
Brule,Wisconsin,62.5
Oak Creek,Wisconsin,493
Wayside,Wisconsin,73.2
Wausau,Wisconsin,791
Shawano,Wisconsin,522
Meridean,Wisconsin,11.1
Bangor,Wisconsin,448
Ashwaubenon,Wisconsin,539
Amherst,Wisconsin,309
Cameron,Wisconsin,262
Summit Lake,Wisconsin,94.3
Knowlton,Wisconsin,100.5
Delavan Lake,Wisconsin,748.4
Angelica,Wisconsin,21.7
Hawkins,Wisconsin,49
Brown Deer,Wisconsin,1050
Dallas,Wisconsin,102
Cornell,Wisconsin,144
Oconto,Wisconsin,252
Postville,Wisconsin,22
Arkansaw,Wisconsin,161.6
Prescott,Wisconsin,635
South Wayne,Wisconsin,227
Cross Plains,Wisconsin,971
Brokaw,Wisconsin,92
Dundas,Wisconsin,23.4
Saxon,Wisconsin,59.5
Ada,Wisconsin,39.2
Brantwood,Wisconsin,3.8
Crivitz,Wisconsin,230
Pella,Wisconsin,41
Calamine,Wisconsin,23.6
French Island,Wisconsin,1327.2
Racine,Wisconsin,1936
Richfield,Wisconsin,125
Osseo,Wisconsin,316
Redgranite,Wisconsin,349
Waupun,Wisconsin,940
Esofea,Wisconsin,13.6
Campia,Wisconsin,19.6
Humbird,Wisconsin,266.9
Stoddard,Wisconsin,508
Lake Mills,Wisconsin,557
Bonduel,Wisconsin,244
McFarland,Wisconsin,930
Como,Wisconsin,634.6
Superior,Wisconsin,275
Chili,Wisconsin,108.7
Dexterville,Wisconsin,49.6
North Cape,Wisconsin,55.1
Shell Lake,Wisconsin,87
Milladore,Wisconsin,100
Green Bay,Wisconsin,892
Waldo,Wisconsin,199
Ettrick,Wisconsin,269
Knapp,Wisconsin,112
Hurley,Wisconsin,163
Red Cliff,Wisconsin,130.6
Osceola,Wisconsin,236
Mellen,Wisconsin,142
Belleville,Wisconsin,590
Franklin,Wisconsin,403
Palmyra,Wisconsin,316
Yorkville,Wisconsin,74.8
Highland,Wisconsin,283
Chelsea,Wisconsin,107.4
Cataract,Wisconsin,124.9
Ferryville,Wisconsin,34
Pittsville,Wisconsin,162
Pembine,Wisconsin,85.6
Delafield,Wisconsin,309
Allenton,Wisconsin,457.2
Anston,Wisconsin,63.8
Lunds,Wisconsin,21
Hebron,Wisconsin,69.3
New Richmond,Wisconsin,368
Grand View,Wisconsin,78.2
Caryville,Wisconsin,24.9
Milan,Wisconsin,91.8
Monroe Center,Wisconsin,13.9
Tony,Wisconsin,19
Florence,Wisconsin,284.4
Colgate,Wisconsin,52.8
Eland,Wisconsin,34
Kellner,Wisconsin,194.5
Lone Rock,Wisconsin,330
Portage,Wisconsin,455
Hudson,Wisconsin,813
Odanah,Wisconsin,5.1
Amberg,Wisconsin,156.8
Price,Wisconsin,19.7
Rosholt,Wisconsin,179
Mishicot,Wisconsin,210
Stockbridge,Wisconsin,73
Elk Mound,Wisconsin,148
Houlton,Wisconsin,204.6
Hillsboro,Wisconsin,385
Springfield,Wisconsin,108.6
Hewitt,Wisconsin,329
Exeland,Wisconsin,61
Montello,Wisconsin,292
Wauwatosa,Wisconsin,1408
Kohler,Wisconsin,150
Neenah,Wisconsin,1088
Hazel Green,Wisconsin,374
Somers,Wisconsin,126
Merrimac,Wisconsin,207
Okauchee Lake,Wisconsin,765.8
Avalon,Wisconsin,55.3
Babcock,Wisconsin,92.3
River Falls,Wisconsin,915
Minong,Wisconsin,128
Reeseville,Wisconsin,419
Plain,Wisconsin,358
Star Prairie,Wisconsin,100
Lime Ridge,Wisconsin,63
Hayward,Wisconsin,282
Brice Prairie,Wisconsin,271.1
Bagley,Wisconsin,190
Milton,Wisconsin,506
Lyndon Station,Wisconsin,88
Bowler,Wisconsin,107
Poynette,Wisconsin,374
Sturtevant,Wisconsin,623
Gills Rock,Wisconsin,40.4
Patzau,Wisconsin,13.4
Fox Lake,Wisconsin,359
Hillsdale,Wisconsin,30.8
Plymouth,Wisconsin,637
Park Ridge,Wisconsin,851
New Auburn,Wisconsin,64
Plum City,Wisconsin,227
Eau Claire,Wisconsin,815
New Berlin,Wisconsin,420
Neillsville,Wisconsin,339
Westboro,Wisconsin,139.4
Cedarburg,Wisconsin,916
Auroraville,Wisconsin,27.1
Crescent,Wisconsin,12.2
Juneau,Wisconsin,626
Waucousta,Wisconsin,24.6
Mauston,Wisconsin,379
Stockholm,Wisconsin,26
Rossmore,West Virginia,83.7
Mathias,West Virginia,19.5
Hambleton,West Virginia,692
Thurmond,West Virginia,20
Newell,West Virginia,1058.6
Bolivar,West Virginia,918
Shinnston,West Virginia,491
Wayne,West Virginia,652
Bayard,West Virginia,334
Colcord,West Virginia,76.3
Pettry,West Virginia,9.3
Van,West Virginia,123
Masontown,West Virginia,755
Kiahsville,West Virginia,0
Union,West Virginia,475
Maybeury,West Virginia,41
Bolt,West Virginia,77.7
Nutter Fort,West Virginia,668
Dailey,West Virginia,70.4
Deep Water,West Virginia,259.5
Montrose,West Virginia,94
Star City,West Virginia,1546
Mineral Wells,West Virginia,31.6
Eleanor,West Virginia,290
Clendenin,West Virginia,305
Pea Ridge,West Virginia,760.8
Henry,West Virginia,0
Wellsburg,West Virginia,1030
McMechen,West Virginia,1200
Kimball,West Virginia,247
Thomas,West Virginia,48
Laneville,West Virginia,2.8
Paw Paw,West Virginia,357
Brandywine,West Virginia,65.7
Junior,West Virginia,599
Millstone,West Virginia,17
Cottageville,West Virginia,127
Fellowsville,West Virginia,40.2
Coalton,West Virginia,96.8
Flemington,West Virginia,395
South Charleston,West Virginia,611
Matewan,West Virginia,308
Burlington,West Virginia,77.7
Barrackville,West Virginia,727
Edray,West Virginia,23.2
Parcoal,West Virginia,106.6
Beech Bottom,West Virginia,160
Mannington,West Virginia,721
Erbacon,West Virginia,13.2
Monongah,West Virginia,889
Twilight,West Virginia,47
Onego,West Virginia,22.6
Apple Grove,West Virginia,17.4
Strange Creek,West Virginia,20.9
Sylvester,West Virginia,217
Bergoo,West Virginia,36.5
Sissonville,West Virginia,134.4
Buckhannon,West Virginia,727
Ellamore,West Virginia,50.6
Clay,West Virginia,315
Glen Rogers,West Virginia,66.9
Spencer,West Virginia,647
Great Cacapon,West Virginia,195.5
Webb,West Virginia,59.3
Durbin,West Virginia,198
Ivydale,West Virginia,65.9
Kermit,West Virginia,358
Bartow,West Virginia,42.4
Culloden,West Virginia,727.9
Clearco,West Virginia,0.1
Justice,West Virginia,304.2
Thornton,West Virginia,48.8
Daniels,West Virginia,571.7
Point Pleasant,West Virginia,668
Reader,West Virginia,131.6
Clifftop,West Virginia,20.5
Core,West Virginia,23
Kopperston,West Virginia,43.6
Stirrat,West Virginia,96.4
Slaty Fork,West Virginia,1.1
Kingwood,West Virginia,465
Tanner,West Virginia,19.9
Orlando,West Virginia,14
Mount Nebo,West Virginia,38.7
Clarksburg,West Virginia,619
Fort Ashby,West Virginia,323.9
Slanesville,West Virginia,37.6
Bemis,West Virginia,40.1
Murphytown,West Virginia,77
Zela,West Virginia,20.9
Charlton Heights,West Virginia,153.9
Bartley,West Virginia,61.1
Webster Springs,West Virginia,632.8
Camden on Gauley,West Virginia,159
Coal City,West Virginia,178.1
Bald Knob,West Virginia,24.3
Chapmanville,West Virginia,668
Wheeling,West Virginia,754
Craigsville,West Virginia,193.3
Herndon,West Virginia,50
Fenwick,West Virginia,93.1
Hurricane,West Virginia,674
Martinsburg,West Virginia,1013
Wolf Summit,West Virginia,215.9
Ronceverte,West Virginia,389
Chauncey,West Virginia,165.6
Bruno,West Virginia,230.7
McWhorter,West Virginia,40.8
Lost Creek,West Virginia,188
Glasgow,West Virginia,713
Williamson,West Virginia,329
Falling Waters,West Virginia,175
Friendly,West Virginia,507
Delray,West Virginia,50.1
Cedar Grove,West Virginia,506
Glenville,West Virginia,570
Greenview,West Virginia,63.1
Schultz,West Virginia,30.6
Riverton,West Virginia,71.4
Chesapeake,West Virginia,1167
Gilbert Creek,West Virginia,33.1
Oakvale,West Virginia,107
Pageton,West Virginia,27
Montcalm,West Virginia,251.8
Sophia,West Virginia,704
Mill Creek,West Virginia,588
Teays Valley,West Virginia,480.2
Romney,West Virginia,698
Lizemores,West Virginia,13.3
Fairmont,West Virginia,830
Logan,West Virginia,517
Maben,West Virginia,37.9
Kanawha,West Virginia,270.2
Whitesville,West Virginia,566
Green Bank,West Virginia,30.7
Chattaroy,West Virginia,270.6
Eccles,West Virginia,179.5
Dunbar,West Virginia,1011
Green Spring,West Virginia,20.9
Neibert,West Virginia,240.4
Montgomery,West Virginia,381
Newburg,West Virginia,156
Hedgesville,West Virginia,922
Pickens,West Virginia,26
Inwood,West Virginia,754.7
Smithfield,West Virginia,200
Tioga,West Virginia,81.1
Abbott,West Virginia,29.9
Falling Spring,West Virginia,155
Brooks,West Virginia,28.3
Pentress,West Virginia,161
Mellin,West Virginia,4.1
Helen,West Virginia,233.3
Fairview,West Virginia,563
Mullens,West Virginia,287
Gandeeville,West Virginia,50.6
Rand,West Virginia,460.2
Grantsville,West Virginia,471
Beckley,West Virginia,666
Augusta,West Virginia,91.3
Dorcas,West Virginia,36.8
Pocatalico,West Virginia,262.4
Omar,West Virginia,333.5
Brookhaven,West Virginia,707.8
Cairo,West Virginia,214
Bancroft,West Virginia,1667
Barnabus,West Virginia,22.9
Raysal,West Virginia,126.4
Gary,West Virginia,379
Robertsburg,West Virginia,67.1
Glen White,West Virginia,304.1
Robinette,West Virginia,217.3
Flatwoods,West Virginia,159
Jefferson,West Virginia,237.7
Gap Mills,West Virginia,21.4
Petersburg,West Virginia,619
Frankford,West Virginia,22.4
Granville,West Virginia,761
Coxs Mills,West Virginia,31.8
Carolina,West Virginia,397.9
Mitchell Heights,West Virginia,328
Elizabeth,West Virginia,675
Eckman,West Virginia,9.7
Saint Albans,West Virginia,1096
Lavalette,West Virginia,269.7
Ward,West Virginia,7.9
East Dailey,West Virginia,189.5
Pineville,West Virginia,301
Kistler,West Virginia,292
Rockport,West Virginia,22.8
Galloway,West Virginia,63.7
Parsons,West Virginia,493
Corinne,West Virginia,228.9
Covel,West Virginia,129.4
White Sulphur Springs,West Virginia,478
Buffalo,West Virginia,348
Paden City,West Virginia,1106
Evans,West Virginia,379.7
Pruntytown,West Virginia,87.2
Huttonsville,West Virginia,273
Pine Grove,West Virginia,552
Brenton,West Virginia,138.5
Bramwell,West Virginia,240
Delbarton,West Virginia,99
Sistersville,West Virginia,947
Huntington,West Virginia,1120
Hico,West Virginia,27
Pullman,West Virginia,222
Accoville,West Virginia,157.1
Bowden,West Virginia,25.7
Mount Carbon,West Virginia,148.1
Alum Bridge,West Virginia,17.3
Winfield,West Virginia,378
Fairlea,West Virginia,567.9
Handley,West Virginia,131
Gilbert,West Virginia,156
Rivesville,West Virginia,675
Kearneysville,West Virginia,86.3
Proctor,West Virginia,109.5
Frost,West Virginia,8.1
Griffithsville,West Virginia,148
Belle,West Virginia,650
Old Fields,West Virginia,25
Alexander,West Virginia,1
Pike,West Virginia,68
Westover,West Virginia,1074
Alderson,West Virginia,500
Crab Orchard,West Virginia,488.9
Malden,West Virginia,343.6
Enterprise,West Virginia,363.8
Beverly,West Virginia,593
Charleston,West Virginia,587
Brohard,West Virginia,24.8
Chelyan,West Virginia,948.5
Lindside,West Virginia,94.2
Meadow Creek,West Virginia,41.2
Asbury,West Virginia,67.7
Auburn,West Virginia,103
Spelter,West Virginia,379.9
Sarah Ann,West Virginia,97.2
Branchland,West Virginia,78
Carpendale,West Virginia,273
Pax,West Virginia,202
Farmington,West Virginia,342
Kimberly,West Virginia,144
Danville,West Virginia,226
MacArthur,West Virginia,344.2
Grafton,West Virginia,534
Tunnelton,West Virginia,343
Oceana,West Virginia,372
Leopold,West Virginia,2.7
Lost City,West Virginia,86.6
New Cumberland,West Virginia,332
Valley Grove,West Virginia,252
Ravenswood,West Virginia,794
Ingleside,West Virginia,16
Annamoriah,West Virginia,13.5
Smithers,West Virginia,579
Hilltop,West Virginia,176
Barboursville,West Virginia,397
Crum,West Virginia,162.6
Falls View,West Virginia,218.6
Saint George,West Virginia,28.4
Kingston,West Virginia,1.4
Weston,West Virginia,788
Bruceton Mills,West Virginia,598
West Union,West Virginia,892
Ferrellsburg,West Virginia,31.5
Rupert,West Virginia,462
Worthington,West Virginia,101
Whitmer,West Virginia,83.6
Four States,West Virginia,65.5
Harrisville,West Virginia,424
Henderson,West Virginia,242
Fort Gay,West Virginia,310
Swandale,West Virginia,2.4
Birch River,West Virginia,89.1
Cheat Lake,West Virginia,159.6
Walton,West Virginia,60.9
Morgantown,West Virginia,1181
Marlinton,West Virginia,163
Capon Bridge,West Virginia,213
Piney View,West Virginia,116.5
Boomer,West Virginia,628.8
Sweet Springs,West Virginia,9.5
Clearview,West Virginia,474
Nallen,West Virginia,54.5
Arbovale,West Virginia,37.4
Ridgeview,West Virginia,49.6
Washington,West Virginia,20.7
Folsom,West Virginia,97.5
Diana,West Virginia,65.8
Lorentz,West Virginia,52.1
Amherstdale,West Virginia,70.9
Bradshaw,West Virginia,142
Monaville,West Virginia,305.1
Ceredo,West Virginia,341
Minden,West Virginia,254.9
Scarbro,West Virginia,218.5
Sand Fork,West Virginia,179
Stollings,West Virginia,275.9
Red Jacket,West Virginia,193.3
Gassaway,West Virginia,291
Parkersburg,West Virginia,987
Quinnimont,West Virginia,11.8
Blacksville,West Virginia,232
Blennerhassett,West Virginia,370
Pennsboro,West Virginia,149
Williamstown,West Virginia,857
Lowsville,West Virginia,63.3
Keyser,West Virginia,992
Hendricks,West Virginia,290
Hinton,West Virginia,423
Rhodell,West Virginia,199
Clintonville,West Virginia,40.1
Verdunville,West Virginia,176.1
Frenchton,West Virginia,47.7
Summersville,West Virginia,289
Aurora,West Virginia,37
Lewisburg,West Virginia,396
Rippon,West Virginia,50.6
Lesage,West Virginia,72.1
Glen Jean,West Virginia,457.8
Hernshaw,West Virginia,66.7
Shady Spring,West Virginia,244.6
Waverly,West Virginia,440.9
Bridgeport,West Virginia,310
Harts,West Virginia,86.4
Terra Alta,West Virginia,488
Big Creek,West Virginia,212.3
Lubeck,West Virginia,296.7
Big Sandy,West Virginia,35.8
Beards Fork,West Virginia,77.6
Hartford City,West Virginia,185
Middleway,West Virginia,206.4
Beaver,West Virginia,264
Myrtle,West Virginia,36
Gauley Bridge,West Virginia,139
Ranson,West Virginia,246
Anawalt,West Virginia,126
New Martinsville,West Virginia,742
Squire,West Virginia,49.2
Petroleum,West Virginia,29.4
Valley Bend,West Virginia,232.5
Richwood,West Virginia,457
Lashmeet,West Virginia,265.4
Coketon,West Virginia,7.6
Hundred,West Virginia,209
War,West Virginia,309
East Bank,West Virginia,724
Hodgesville,West Virginia,61.8
Camp Creek,West Virginia,11.7
Weirton,West Virginia,399
Littleton,West Virginia,31.4
Cucumber,West Virginia,77.7
Matoaka,West Virginia,307
Bud,West Virginia,201.7
Benwood,West Virginia,388
West Milford,West Virginia,442
Princeton,West Virginia,745
Bluefield,West Virginia,427
Stanaford,West Virginia,380.1
Bethany,West Virginia,467
Cowen,West Virginia,295
Dunmore,West Virginia,29.1
Fayetteville,West Virginia,192
West Hamlin,West Virginia,532
